ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-37.41007062,1.68E-176,0,175.7753345,5.96E+175
"OSD-457: JAXA, liver",liver,liver,Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-35.51977845,1.06E-158,0,157.9745581,9.43E+157
"OSD-457: JAXA, liver",liver,liver,Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-35.14383086,1.79E-155,0,154.7464311,5.58E+154
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Bcan,BCAN,-8.712440289,0.1358435235,0.002383933505,0.8669610622,7.343861824
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-7.410165327,0.000002380431392,0.005879196337,5.623344331,417622.1198
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Bcan,BCAN,-5.153019803,,0.02810518646,#NUM!,#DIV/0!
"OSD-47: RR-1, liver",liver,liver,Spaceflight vs GroundControl,Bcan,BCAN,-4.076214665,,0.05928394791,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-3.422096244,0.1757627469,0.09329242509,0.7550731686,5.158701663
"OSD-326: RR-4, muscle, quadriceps femoris",muscle,"muscle, quadriceps femoris",Spaceflight vs GroundControl,Fasl,FASLG,-3.10322221,,0.1163689275,#NUM!,#DIV/0!
"OSD-164: RR-1, liver",liver,liver,Spaceflight vs GroundControl,Bcan,BCAN,-2.693709552,0.9882723183,0.1545655221,0.005123369153,0.8554671241
"OSD-352: RR-3, brain",brain,brain,Spaceflight vs GroundControl,Fasl,FASLG,-2.612270393,0.9999854557,0.1635416047,0.00000631654848,0.8364705611
"OSD-419: RR-1, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Robo1,ROBO1,-2.609186943,0.9879213459,0.1638915135,0.005277630708,0.8463310262
"OSD-457: JAXA, kidney",kidney,kidney,Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-2.398096109,1,0.1897147678,0,0.8102852322
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-2.212162138,0.9656394246,0.2158106343,0.01518501141,0.8120933608
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Adamts15,ADAMTS15,-2.122302202,0.000001696196862,0.2296801046,5.770523745,454145.3369
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",GroundControl (1G) (chow+FOS) vs GroundControl (1G) (chow),Fasl,FASLG,-2.121801698,1,0.2297597998,0,0.7702402002
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 12wk) Spaceflight vs (Age 12wk) VivariumControl,Bcan,BCAN,-2.084880294,0.07918772667,0.2357156913,1.101342125,9.651550068
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 12wk) Spaceflight vs (Age 12wk) GroundControl,Bcan,BCAN,-2.079031351,0.07580183767,0.2366732646,1.120320266,10.07002942
"OSD-48: RR-1, liver",liver,liver,GroundControl (FrozenCarcass) vs GroundControl (FreshDissection),Cdon,CDON,-2.056642481,0.002401646084,0.2403747928,2.619490991,316.2935672
"OSD-242: RR-9, liver",liver,liver,VivariumControl_C2 vs GroundControl_C2,Fasl,FASLG,-2.054595312,1,0.2407161242,0,0.7592838758
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow+FOS),Fasl,FASLG,-1.970461208,0.1931394603,0.2551714438,0.7141289864,3.856428691
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Adamts15,ADAMTS15,-1.958294132,0.00001736034522,0.2573325513,4.760441643,42779.53227
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Bcan,BCAN,-1.91547774,0.1371560996,0.2650841398,0.8627848736,5.35824409
"OSD-457: JAXA, kidney",kidney,kidney,Nrf2KO GroundControl vs Wildtype GroundControl,Fasl,FASLG,-1.900265836,1,0.2678939981,0,0.7321060019
"OSD-168: RR-1/3, liver",liver,liver,"RR3, Spaceflight vs GroundControl",Fasl,FASLG,-1.810610564,0.7964567954,0.2850702586,0.09883777798,0.8976378199
"OSD-247: RR-6, colon",colon,colon,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Fasl,FASLG,-1.752413345,0.00006772967217,0.296804867,4.169221027,10382.3791
"OSD-173: CBTM-3, liver",liver,liver,Spaceflight vs VivariumControl,Cdon,CDON,-1.698819038,0.022700714,0.3080381541,1.643960483,30.48194193
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Adamts15,ADAMTS15,-1.692387553,0.00004392569972,0.3094144432,4.357281312,15721.67458
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Nrf2KO Spaceflight vs Wildtype Spaceflight,Robo1,ROBO1,-1.680356631,0.000674470052,0.3120055005,3.171037329,1020.051961
"OSD-242: RR-9, liver",liver,liver,Spaceflight_C1 vs GroundControl_C2,Fasl,FASLG,-1.679830997,0.3114372587,0.312119198,0.5066294319,2.208729953
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-1.663507263,0.9284305492,0.3156708036,0.03225057788,0.7370817311
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C57BL/6J",Bcan,BCAN,-1.628230765,0.9601399069,0.3234846667,0.01766547909,0.7046007863
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs GroundControl (FrozenCarcass),Bcan,BCAN,-1.624096006,,0.3244131025,#NUM!,#DIV/0!
"OSD-161: RR-3, adrenal gland",gland,adrenal gland,Spaceflight vs GroundControl,Fasl,FASLG,-1.624061924,0.2120060143,0.3244207666,0.6736518186,3.186604095
"OSD-457: JAXA, kidney",kidney,kidney,Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-1.617850726,1,0.3258204979,0,0.6741795021
"OSD-244: RR-6, thymus",thymus,thymus,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Robo1,ROBO1,-1.596571282,0.0004675828546,0.3306618976,3.330141422,1431.485556
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-1.589343915,0.1790166057,0.3323225473,0.7471066816,3.729695633
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs VivariumControl 75d, C3H/HeJ",Bcan,BCAN,-1.568965315,1,0.337050036,0,0.662949964
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Nrf2KO Spaceflight vs Nrf2KO GroundControl,Robo1,ROBO1,-1.556554608,0.001773826122,0.339961998,2.751088954,372.098479
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow) vs Spaceflight (uG) (chow),Bcan,BCAN,-1.529005824,0.9867919928,0.3465160725,0.005774383199,0.662230675
"OSD-421: RR-9, thymus",thymus,thymus,Spaceflight vs GroundControl,Adamts15,ADAMTS15,-1.52633466,,0.3471582447,#NUM!,#DIV/0!
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Nrf2KO Spaceflight vs Nrf2KO GroundControl,Bcan,BCAN,-1.524021824,0.1377373141,0.347715233,0.8609483902,4.735715746
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Cdon,CDON,-1.485438771,0.03777144895,0.3571399005,1.422836355,17.01973627
"OSD-457: JAXA, liver",liver,liver,Nrf2KO Spaceflight vs Nrf2KO GroundControl,Fasl,FASLG,-1.462050835,0.7303276096,0.3629767798,0.1364822808,0.8722431027
"OSD-47: RR-1, liver",liver,liver,Spaceflight vs BasalControl,Bcan,BCAN,-1.431172712,,0.370829337,#NUM!,#DIV/0!
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Nrf2KO Spaceflight vs Wildtype Spaceflight,Bcan,BCAN,-1.420346544,0.1747334723,0.3736225551,0.7576238928,3.58475933
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs GroundControl,Fasl,FASLG,-1.417246456,0.5197632302,0.3744262649,0.2841944472,1.203574433
"OSD-244: RR-6, thymus",thymus,thymus,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Bcan,BCAN,-1.391636765,0.2285942523,0.3811321552,0.6409346936,2.707276489
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs GroundControl,Bcan,BCAN,-1.39103028,0.6029843783,0.3812924104,0.2196939391,1.026075653
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-1.381376171,0.5831966756,0.383852468,0.2341849603,1.056500419
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs BasalControl,Bcan,BCAN,-1.372233589,,0.3862927245,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Adamts15,ADAMTS15,-1.365877728,0.01358877214,0.3879983096,1.866819784,45.0373061
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Adamts15,ADAMTS15,-1.364552298,0.01058716392,0.3883549344,1.975220363,57.77232411
"OSD-245: RR-6, liver",liver,liver,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Fasl,FASLG,-1.36377606,0.002377724881,0.3885639439,2.623838398,257.1517256
"OSD-242: RR-9, liver",liver,liver,VivariumControl_C2 vs GroundControl_C2,Cdon,CDON,-1.325508072,0.9998264553,0.39900865,0.00007537606432,0.601095667
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-1.313727846,1,0.4022800654,0,0.5977199346
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-1.31353951,0.3936369168,0.4023325843,0.4049041785,1.518321555
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Robo1,ROBO1,-1.311393955,0.05217263755,0.4029313727,1.282557207,11.44409513
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs Spaceflight (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-1.293185016,1,0.4080491903,0,0.5919508097
"OSD-457: JAXA, adipose tissue, white",adipose,"adipose tissue, white",Nrf2KO Spaceflight vs Nrf2KO GroundControl,Adamts15,ADAMTS15,-1.281497023,0.0006857349075,0.4113684278,3.163843742,858.3952279
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Fasl,FASLG,-1.280125295,0.9969834004,0.4117597467,0.001312072539,0.5900201077
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-1.263129824,0.3426513725,0.4166391097,0.4651475243,1.702491037
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Fasl,FASLG,-1.24867281,,0.420835172,#NUM!,#DIV/0!
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Adamts15,ADAMTS15,-1.248386216,0.05086533374,0.42091878,1.293578102,11.38459492
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Adamts15,ADAMTS15,-1.238788553,0.00002435945441,0.423728316,4.613332443,23657.00291
"OSD-253: RR-7, kidney",kidney,kidney,"GroundControl 75d vs GroundControl 25d, C3H/HeJ",Bcan,BCAN,-1.228776352,0.9396958525,0.426679188,0.02701268995,0.6101131663
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-1.212131212,0.5094266212,0.4316305211,0.2929183638,1.115704314
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs VivariumControl 25d, C3H/HeJ",Fasl,FASLG,-1.209934106,1,0.4322883596,0,0.5677116404
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnISS) (Age 29wk),Fasl,FASLG,-1.209882048,0.2347464424,0.4323039585,0.6294009807,2.418337146
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Bcan,BCAN,-1.208524552,0.4057694788,0.432710924,0.3917206229,1.398057532
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Adamts15,ADAMTS15,-1.200544229,0.03837951687,0.4351111135,1.415900497,14.71849915
"OSD-247: RR-6, colon",colon,colon,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Robo1,ROBO1,-1.195888612,0.0008564666107,0.4365174972,3.067289563,657.9153183
"OSD-247: RR-6, colon",colon,colon,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Cdon,CDON,-1.189817946,0.0004118231905,0.4383581738,3.385289201,1363.793587
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-1.159437645,0.3628197083,0.4476870076,0.4403091302,1.522279468
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Adamts15,ADAMTS15,-1.151090408,0.005976279268,0.4502847714,2.223569116,91.98285488
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Cdon,CDON,-1.13848363,0.0001266321505,0.4542367605,3.897456018,4309.831568
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 32wk) GroundControl,Adamts15,ADAMTS15,-1.129925952,0.003668302664,0.4569391775,2.435534839,148.0414438
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Adamts15,ADAMTS15,-1.129693897,0.0001950358063,0.4570126812,3.70988565,2784.039142
"OSD-99: RR-1, muscle, extensor digitorum longus",muscle,"muscle, extensor digitorum longus",Spaceflight vs GroundControl,Bcan,BCAN,-1.123722136,,0.4589083188,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C3H/HeJ",Bcan,BCAN,-1.110615103,0.9743702409,0.4630965444,0.01127598869,0.5510261224
"OSD-246: RR-6, spleen",spleen,spleen,Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Bcan,BCAN,-1.108058851,,0.4639178136,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Adamts15,ADAMTS15,-1.094985485,0.0002134403233,0.4681408337,3.67072353,2491.840146
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs Spaceflight (1G centrifugation) (chow),Fasl,FASLG,-1.093288124,1,0.4686919353,0,0.5313080647
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Adamts15,ADAMTS15,-1.091300246,0.09218991053,0.4693381873,1.035316607,5.756181015
"OSD-242: RR-9, liver",liver,liver,VivariumControl_C2 vs BasalControl_C1,Fasl,FASLG,-1.090393674,1,0.4696332064,0,0.5303667936
"OSD-244: RR-6, thymus",thymus,thymus,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Fasl,FASLG,-1.087060872,0.1032680273,0.4707193707,0.9860341191,5.12530977
"OSD-242: RR-9, liver",liver,liver,Spaceflight_C1 vs CC_C1,Fasl,FASLG,-1.076063371,0.4469332346,0.4743213223,0.3497573494,1.176190619
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Adamts15,ADAMTS15,-1.065251563,0.001296831952,0.477889322,2.887116298,402.60473
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk),Cdon,CDON,-1.051457405,0.0003592903027,0.4824805183,3.444554504,1440.393681
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow+FOS),Bcan,BCAN,-1.049031582,0.4769243315,0.4832924687,0.3215505203,1.083416167
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Adamts15,ADAMTS15,-1.046294768,0.1415166486,0.4842101519,0.8491924651,3.644729107
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 29wk),Bcan,BCAN,-1.040656378,0.4341427186,0.4861062612,0.3623674785,1.183697703
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Robo1,ROBO1,-1.035906265,0.3354312317,0.4877094172,0.4743965031,1.527259642
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Bcan,BCAN,-1.035151703,,0.4879645672,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",VivariumControl (1G) (chow) vs GroundControl (1G) (chow),Fasl,FASLG,-1.031058157,0.8682498563,0.4893510985,0.06135527988,0.5881358894
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (uG) (chow),Adamts15,ADAMTS15,-1.030919189,0.2010758397,0.4893982375,0.6966401091,2.53934915
"OSD-242: RR-9, liver",liver,liver,Spaceflight_C1 vs CC_C2,Fasl,FASLG,-1.028036199,0.4507433261,0.4903771978,0.3460706949,1.130627505
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Cdon,CDON,-1.026325934,0.0004111224265,0.4909588674,3.386028832,1238.174081
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 75d vs VivariumControl 25d, C57BL/6J",Bcan,BCAN,-1.025365692,1,0.4912857533,0,0.5087142467
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","GroundControl 75d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-1.021424101,1,0.4926298314,0,0.5073701686
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Cdon,CDON,-1.00269837,0.002125790826,0.4990656903,2.672479472,235.6460963
"OSD-194: RR-3, retina",eye,retina,GroundControl vs BasalControl,Fasl,FASLG,-0.9953766453,1,0.5016049028,0,0.4983950972
"OSD-253: RR-7, kidney",kidney,kidney,"GroundControl 75d vs GroundControl 25d, C3H/HeJ",Robo1,ROBO1,-0.9918656153,0.7610934036,0.5028271256,0.1185620421,0.6532350328
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Adamts15,ADAMTS15,-0.975082468,0.01476762307,0.5087107661,1.830689401,33.26799658
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C57BL/6J",Robo1,ROBO1,-0.9714001833,0.01736915869,0.5100108402,1.760221217,28.21029899
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-0.9612435718,0.5091396227,0.5136139983,0.2931631036,0.9553096636
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.9561967067,0.007404206808,0.5154138796,2.130521459,65.44740483
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C3H/HeJ",Robo1,ROBO1,-0.9557257024,0.9327688929,0.515582177,0.0302259457,0.5193331667
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Cdon,CDON,-0.9536455792,0.6166145965,0.5163260958,0.2099861989,0.7844022944
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Robo1,ROBO1,-0.9492032107,0.1426722148,0.5179184253,0.8456605969,3.378945056
"OSD-242: RR-9, liver",liver,liver,Spaceflight_C1 vs VivariumControl_C2,Robo1,ROBO1,-0.9471583883,0.4665919954,0.5186530241,0.331062716,1.031622875
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.9266257193,0.00457200608,0.5260873556,2.339893201,103.6552962
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 29wk),Adamts15,ADAMTS15,-0.9250435138,0.004225189591,0.5266646328,2.374153799,112.0270125
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Bcan,BCAN,-0.920137738,0.4125831696,0.5284585645,0.3844884921,1.142900317
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Fasl,FASLG,-0.919640878,0.2468787264,0.5286405954,0.6075163318,1.909275098
"OSD-48: RR-1, liver",liver,liver,GroundControl (FrozenCarcass) vs GroundControl (FreshDissection),Robo1,ROBO1,-0.9189750592,0.1919423211,0.5288846249,0.7168292577,2.45446326
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs VivariumControl_C2,Robo1,ROBO1,-0.9093336632,0.3788665497,0.532430948,0.421513737,1.23412598
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk),Adamts15,ADAMTS15,-0.9004013041,0.00164303585,0.5357376882,2.784352961,282.5637139
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 12wk) Spaceflight vs (Age 12wk) GroundControl,Fasl,FASLG,-0.8982078834,0.3383876487,0.5365528237,0.4705854972,1.369574741
"OSD-244: RR-6, thymus",thymus,thymus,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Adamts15,ADAMTS15,-0.8910495067,0.2096974593,0.5392217119,0.6784068314,2.197347977
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnISS) (Age 12wk),Fasl,FASLG,-0.8842356382,1,0.5417744871,0,0.4582255129
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Robo1,ROBO1,-0.8784695831,0.6166145965,0.5439441435,0.2099861989,0.7396124891
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Bcan,BCAN,-0.8748213616,0.5354804173,0.5453213853,0.2712564069,0.8491040942
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow) vs Spaceflight (uG) (chow),Fasl,FASLG,-0.8656986881,0.9867919928,0.5487805715,0.005774383199,0.4572589074
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.8586397984,0.07107360264,0.5514722519,1.14829167,6.310750144
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C3H/HeJ",Bcan,BCAN,-0.8564023712,1,0.5523281752,0,0.4476718248
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 12wk) VivariumControl vs (Age 12wk) GroundControl,Fasl,FASLG,-0.8495247883,0.703537978,0.5549675076,0.1527124538,0.6325635663
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",VivariumControl (1G) (chow+FOS) vs VivariumControl (1G) (chow),Robo1,ROBO1,-0.8326920529,0.7334932562,0.5614805478,0.1346038748,0.597850694
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Fasl,FASLG,-0.8298367486,0.1332872576,0.5625929002,0.8752113676,3.281687294
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Fasl,FASLG,-0.8288918168,,0.5629615062,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-0.8257344542,0.5054782462,0.5641949062,0.29629753,0.8621638954
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Cdon,CDON,-0.8202102736,0.06034867158,0.5663593894,1.219332285,7.185586678
