ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.3594806255,0.4833907399,0.7794451317,0.3157016735,0.4562662254
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Robo1,ROBO1,-0.3589526252,0.9973875653,0.7797304468,0.001136050559,0.2208465003
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) VivariumControl vs (Age 12wk) VivariumControl,Bcan,BCAN,-0.3578693314,0.9999565331,0.7803161522,0.0000188778527,0.2196933972
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-0.3575581588,1,0.7804844755,0,0.2195155245
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 75d vs VivariumControl 25d, C3H/HeJ",Cdon,CDON,-0.3558900823,1,0.7813874112,0,0.2186125888
"OSD-457: JAXA, adipose tissue, white",adipose,"adipose tissue, white",Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-0.3525198247,1,0.783214932,0,0.216785068
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Adamts15,ADAMTS15,-0.3517625035,0.7970616893,0.7836261769,0.09850806468,0.2714643371
"OSD-245: RR-6, liver",liver,liver,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Robo1,ROBO1,-0.3502039196,0.7323251585,0.7844732077,0.1352960457,0.2943047768
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Bcan,BCAN,-0.3497794166,1,0.7847040674,0,0.2152959326
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.3460700539,1,0.7867242429,0,0.2132757571
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Robo1,ROBO1,-0.3449374716,0.8777428263,0.7873421003,0.05663271131,0.2422781404
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Adamts15,ADAMTS15,-0.3448616574,0.4261204137,0.7873834766,0.3704676601,0.498958784
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 75d vs VivariumControl 25d, C3H/HeJ",Adamts15,ADAMTS15,-0.3432157336,1,0.7882822893,0,0.2117177107
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Fasl,FASLG,-0.3401263868,0.8478175832,0.7899721036,0.07169758068,0.2477276959
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs GroundControl (1G) (chow+FOS),Robo1,ROBO1,-0.337792442,0.6080208611,0.7912511289,0.2160815199,0.3433251792
"OSD-379: RR-8, liver",liver,liver,VivariumControl 23d (FrozenCarcass on ISS) vs GroundControl 23d (FrozenCarcass on ISS),Robo1,ROBO1,-0.3374287888,0.169986845,0.7914506009,0.7695846866,1.226856108
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Cdon,CDON,-0.3373942024,0.9656394246,0.791469575,0.01518501141,0.2159506123
"OSD-457: JAXA, kidney",kidney,kidney,Wildtype Spaceflight vs Wildtype GroundControl,Adamts15,ADAMTS15,-0.335697165,1,0.7924011258,0,0.2075988742
"OSD-168: RR-1/3, liver",liver,liver,"RR1, Spaceflight vs BasalControl",Cdon,CDON,-0.33148598,0.1372056887,0.7947175008,0.862627882,1.496166093
"OSD-168: RR-1/3, liver",liver,liver,"RR1, GroundControl vs BasalControl",Cdon,CDON,-0.3311187847,0.2039402545,0.7949197983,0.6904970431,1.005589613
"OSD-247: RR-6, colon",colon,colon,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Bcan,BCAN,-0.3270577093,0.9255861735,0.7971605887,0.03358314154,0.2191469764
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnISS) (Age 12wk),Robo1,ROBO1,-0.3243432291,1,0.7986618856,0,0.2013381144
"OSD-168: RR-1/3, liver",liver,liver,"RR3, Spaceflight vs BasalControl",Fasl,FASLG,-0.3230528387,0.7650897689,0.7993765527,0.1162876055,0.2622221019
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 29wk),Fasl,FASLG,-0.3207395559,0.8032269216,0.8006593375,0.09516174379,0.2481747774
"OSD-513: RR-23, kidney",kidney,kidney,Spaceflight vs VivariumControl,Fasl,FASLG,-0.3176505513,0.8290361543,0.8023754937,0.08142652945,0.2383786344
"OSD-168: RR-1/3, liver",liver,liver,"RR3, Spaceflight vs BasalControl",Cdon,CDON,-0.3162441379,0.8248972876,0.803158072,0.08360012444,0.2386259853
"OSD-457: JAXA, bone, temporal",bone,"bone, temporal",Nrf2KO Spaceflight vs Nrf2KO GroundControl,Robo1,ROBO1,-0.3154151297,1,0.8036197191,0,0.1963802809
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs GroundControl (FrozenCarcass),Fasl,FASLG,-0.3141759369,,0.8043102792,#NUM!,#DIV/0!
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 12wk) Spaceflight,Robo1,ROBO1,-0.3134390376,0.9437959878,0.8047212095,0.02512187322,0.2069078414
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow) vs VivariumControl (1G) (chow),Bcan,BCAN,-0.3131896283,1,0.8048603396,0,0.1951396604
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs VivariumControl 25d, C3H/HeJ",Adamts15,ADAMTS15,-0.3083524871,1,0.8075634452,0,0.1924365548
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.3074299936,0.560970916,0.8080799856,0.2510596545,0.3421211491
"OSD-173: CBTM-3, liver",liver,liver,Spaceflight vs VivariumControl,Fasl,FASLG,-0.3066155853,,0.8085362794,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",GroundControl (1G) (chow+FOS) vs GroundControl (1G) (chow),Adamts15,ADAMTS15,-0.3063282317,1,0.8086973384,0,0.1913026616
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Cdon,CDON,-0.3063211462,0.4898174782,0.8087013101,0.309965722,0.3905509673
"OSD-168: RR-1/3, liver",liver,liver,"RR3, GroundControl vs BasalControl",Cdon,CDON,-0.3053493262,0.3427849173,0.8092462464,0.4649782955,0.5564823419
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Adamts15,ADAMTS15,-0.3050413314,0.8861413548,0.8094190274,0.05249699516,0.2150683653
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Fasl,FASLG,-0.304396206,0.8911499662,0.8097810537,0.05004920504,0.2134533508
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Robo1,ROBO1,-0.3028724735,0.8391675201,0.8106367727,0.07615133379,0.2256560493
"OSD-457: JAXA, bone, temporal",bone,"bone, temporal",Nrf2KO Spaceflight vs Wildtype Spaceflight,Cdon,CDON,-0.3025088605,0.8871592737,0.8108411092,0.05199840331,0.2132186367
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.3013582552,0.5945350477,0.8114880444,0.2258225387,0.3170745886
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Adamts15,ADAMTS15,-0.3000036744,0.8040876365,0.8122503276,0.09469661547,0.233494042
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs VivariumControl 25d, C57BL/6J",Bcan,BCAN,-0.2980783622,1,0.8133350194,0,0.1866649806
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Bcan,BCAN,-0.2961588994,0.8586757012,0.8144178576,0.06617082658,0.2161259975
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.294019422,1,0.815626513,0,0.184373487
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow) vs VivariumControl (1G) (chow),Robo1,ROBO1,-0.2933706393,0.9996859963,0.8159933843,0.0001363915063,0.1840644126
"OSD-161: RR-3, adrenal gland",gland,adrenal gland,Spaceflight vs BasalControl,Fasl,FASLG,-0.2917454748,,0.816913101,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow) vs GroundControl (1G) (chow),Bcan,BCAN,-0.2910310302,0.7700903068,0.817317749,0.1134583431,0.2372218548
"OSD-137: RR-3, liver",liver,liver,GroundControl vs BasalControl,Robo1,ROBO1,-0.2907357269,0.3090746637,0.8174850618,0.5099365947,0.5905205429
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Robo1,ROBO1,-0.2879476836,0.6446927045,0.8190663991,0.1906472444,0.2806509204
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.2872029582,0.6577360377,0.8194893138,0.1819483623,0.2744424447
"OSD-162: RR-3, eye",eye,eye,Spaceflight vs GroundControl,Bcan,BCAN,-0.2871789973,0.9059585698,0.8195029244,0.04289166249,0.1992332559
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.2866730402,1,0.8197903767,0,0.1802096233
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",VivariumControl (1G) (chow+FOS) vs VivariumControl (1G) (chow),Cdon,CDON,-0.2854251334,0.788541012,0.8204997883,0.1031757141,0.2276358604
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk) vs Spaceflight (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.2853329184,1,0.8205522351,0,0.1794477649
"OSD-242: RR-9, liver",liver,liver,CohortControl_C1 vs BasalControl_C1,Robo1,ROBO1,-0.2840587735,0.8012048702,0.8212772423,0.09625641949,0.2230674879
"OSD-247: RR-6, colon",colon,colon,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Fasl,FASLG,-0.2814743289,0.7965214972,0.8227497973,0.09880249859,0.2225303439
"OSD-248: RR-6, lung",lung,lung,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Fasl,FASLG,-0.2785069481,0.9147693984,0.8244437967,0.0386883722,0.1919130697
"OSD-101: RR-1, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Robo1,ROBO1,-0.2781870572,0.7288393307,0.8246266221,0.1373681994,0.2406200798
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 29wk),Cdon,CDON,-0.2758628951,0.475369814,0.825956155,0.3229683995,0.3661230475
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (uG) vs GroundControl (1G)",Cdon,CDON,-0.2755479655,0.4655136141,0.8261364748,0.3320676134,0.3734875198
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU1, Spaceflight (1G centrifugation) vs Spaceflight (uG)",Adamts15,ADAMTS15,-0.2739584084,,0.8270472111,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Cdon,CDON,-0.2738823146,0.5174790247,0.8270908342,0.2861072491,0.3341375352
"OSD-457: JAXA, kidney",kidney,kidney,Wildtype Spaceflight vs Wildtype GroundControl,Robo1,ROBO1,-0.2738637425,1,0.8271014816,0,0.1728985184
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Adamts15,ADAMTS15,-0.2731692853,0.9973875653,0.8274997119,0.001136050559,0.1729521142
"OSD-457: JAXA, bone, temporal",bone,"bone, temporal",Nrf2KO Spaceflight vs Wildtype Spaceflight,Robo1,ROBO1,-0.2728987362,1,0.8276549077,0,0.1723450923
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.270680486,0.4907329761,0.8289284672,0.3091547575,0.348604111
"OSD-457: JAXA, liver",liver,liver,Wildtype Spaceflight vs Wildtype GroundControl,Robo1,ROBO1,-0.2685425998,0.9013715703,0.8301577418,0.0450961439,0.1884264645
"OSD-168: RR-1/3, liver",liver,liver,"RR1, VivariumControl vs BasalControl",Cdon,CDON,-0.2667600753,0.3473046692,0.8311840786,0.459289378,0.4860744366
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Cdon,CDON,-0.2663032019,1,0.8314473401,0,0.1685526599
"OSD-457: JAXA, spleen",spleen,spleen,Nrf2KO Spaceflight vs Nrf2KO GroundControl,Adamts15,ADAMTS15,-0.2638499587,1,0.8328623846,0,0.1671376154
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Fasl,FASLG,-0.2638355837,0.9416364721,0.8328706833,0.02611672844,0.1774881513
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) VivariumControl vs (Age 12wk) VivariumControl,Cdon,CDON,-0.2637162381,0.6982906294,0.8329395846,0.1559637858,0.2392419551
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (uG) vs Spaceflight (1G centrifugation)",Robo1,ROBO1,-0.2631195311,0.7673991193,0.8332841645,0.1149787036,0.2172478848
"OSD-246: RR-6, spleen",spleen,spleen,Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Fasl,FASLG,-0.2629473443,0.6081986117,0.8333836236,0.2159545756,0.273950603
"OSD-246: RR-6, spleen",spleen,spleen,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Fasl,FASLG,-0.2623412402,0.4835800496,0.8337338177,0.3155316245,0.343823494
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Fasl,FASLG,-0.2620439446,,0.8339056426,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow),Fasl,FASLG,-0.261625787,0.9973875653,0.8341473808,0.001136050559,0.1662870332
"OSD-168: RR-1/3, liver",liver,liver,"RR1, VivariumControl vs GroundControl",Robo1,ROBO1,-0.2602530861,0.7854606484,0.8349414362,0.1048755682,0.210142372
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs Spaceflight (1G centrifugation) (chow),Adamts15,ADAMTS15,-0.2595328407,0.9867919928,0.8353583732,0.005774383199,0.1668453211
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Fasl,FASLG,-0.2591632134,1,0.8355724245,0,0.1644275755
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Adamts15,ADAMTS15,-0.2588026704,0.5891036936,0.835781268,0.2298082543,0.2787603164
"OSD-457: JAXA, adipose tissue, white",adipose,"adipose tissue, white",Wildtype Spaceflight vs Wildtype GroundControl,Cdon,CDON,-0.2579579805,0.677655848,0.8362707565,0.1689908095,0.2416112013
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs VivariumControl 25d, C3H/HeJ",Robo1,ROBO1,-0.2481313161,1,0.8419863114,0,0.1580136886
"OSD-247: RR-6, colon",colon,colon,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Adamts15,ADAMTS15,-0.247661035,0.797902409,0.8422608218,0.0980502237,0.1976923198
"OSD-162: RR-3, eye",eye,eye,Spaceflight vs GroundControl,Cdon,CDON,-0.2445731532,0.7763466621,0.8440654909,0.1099443099,0.2008568037
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Robo1,ROBO1,-0.2423196232,0.7790566423,0.8453849751,0.1084309653,0.1984644204
"OSD-163: RR-3, kidney",kidney,kidney,GroundControl vs BasalControl,Robo1,ROBO1,-0.2391937113,0.6648890309,0.8472186709,0.1772508318,0.229784704
"OSD-457: JAXA, bone, temporal",bone,"bone, temporal",Nrf2KO Spaceflight vs Nrf2KO GroundControl,Cdon,CDON,-0.2379521229,1,0.8479481041,0,0.1520518959
"OSD-242: RR-9, liver",liver,liver,GroundControl_C2 vs BasalControl_C1,Robo1,ROBO1,-0.2376592893,0.6664731001,0.8481202353,0.1762173747,0.2278858137
"OSD-163: RR-3, kidney",kidney,kidney,Spaceflight vs GroundControl,Robo1,ROBO1,-0.2348763158,0.8366636182,0.8497578469,0.07744911564,0.1795729488
"OSD-98: RR-1, adrenal gland",gland,adrenal gland,Spaceflight vs GroundControl,Adamts15,ADAMTS15,-0.2327521958,0.9743712987,0.8510098905,0.0112755172,0.1529089678
"OSD-288: MHU-1, spleen",spleen,spleen,Spaceflight (1G centrifugation) vs GroundControl (1G),Cdon,CDON,-0.2324017014,0.8222699093,0.8512166635,0.08498560232,0.1809422123
"OSD-247: RR-6, colon",colon,colon,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Robo1,ROBO1,-0.2301744342,0.9665082261,0.8525318071,0.01479444526,0.1525783112
"OSD-244: RR-6, thymus",thymus,thymus,Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Bcan,BCAN,-0.2246103053,0.9117423201,0.8558261666,0.04012788622,0.1581300223
"OSD-246: RR-6, spleen",spleen,spleen,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Fasl,FASLG,-0.2213481003,0.7019516879,0.8577635402,0.1536927773,0.2026299847
"OSD-163: RR-3, kidney",kidney,kidney,GroundControl vs BasalControl,Cdon,CDON,-0.2192121661,0.3496560658,0.859034414,0.4563589332,0.4031549849
"OSD-98: RR-1, adrenal gland",gland,adrenal gland,Spaceflight vs GroundControl,Cdon,CDON,-0.2191452271,0.9424793553,0.859074273,0.02572815411,0.1495265931
"OSD-241: RR-5, skin, femoral",skin,"skin, femoral",Spaceflight vs GroundControl,Adamts15,ADAMTS15,-0.2148176815,0.635782045,0.8616550433,0.1966917411,0.217598087
"OSD-289: MHU-1/2, thymus",thymus,thymus,"MHU2, Spaceflight (uG) vs GroundControl (1G)",Cdon,CDON,-0.2146127334,0.603612004,0.8617774579,0.219242132,0.2289923678
"OSD-168: RR-1/3, liver",liver,liver,"RR3, GroundControl vs BasalControl",Robo1,ROBO1,-0.2124100258,0.73309411,0.8630942252,0.1348402698,0.1867506135
"OSD-288: MHU-1, spleen",spleen,spleen,Spaceflight (uG) vs GroundControl (1G),Fasl,FASLG,-0.2123725245,1,0.8631166607,0,0.1368833393
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 75d vs VivariumControl 25d, C57BL/6J",Robo1,ROBO1,-0.2123298361,1,0.8631422002,0,0.1368577998
